_r;_RAJ2000;_DEJ2000;HIP;RAhms;DEdms;Vmag;RAICRS;DEICRS;Plx;pmRA;pmDE;e_Plx;B-V;Notes;_RA.icrs;_DE.icrs
deg;deg;deg; ; ; ;mag;deg;deg;mas;mas/yr;mas/yr;mas;mag; ;deg;deg
--------;--------------;--------------;------;-----------;-----------;-----;------------;------------;-------;--------;--------;------;------;-;------------;------------
0.852170;057.0867349580;+23.4212498000; 17776;03 48 20.80;+23 25 16.9; 5.44;057.08668426;+23.42136355;   9.64;   19.14;  -46.80;  0.91;-0.067; ;057.08673496;+23.42124980
0.855264;055.9230616530;+23.6491503819; 17401;03 43 41.52;+23 38 57.3; 7.93;055.92300763;+23.64926000;   9.48;   20.36;  -45.10;  1.11; 0.347; ;055.92306165;+23.64915038
0.877143;057.0272525156;+24.9884165298; 17759;03 48 06.56;+24 59 18.5; 6.44;057.02732709;+24.98848495;   4.42;  -27.81;  -28.15;  0.94; 1.701; ;057.02725252;+24.98841653
0.991808;057.7184462343;+23.9614695578; 17999;03 50 52.42;+23 57 41.7; 6.95;057.71840155;+23.96158078;   9.83;   16.80;  -45.76;  1.00; 0.078; ;057.71844623;+23.96146956
0.996108;056.2134869552;+23.2689226376; 17497;03 44 51.22;+23 16 08.5; 8.98;056.21342687;+23.26902878;   9.76;   22.71;  -43.67;  1.29; 0.403; ;056.21348696;+23.26892264
1.045089;057.7629744006;+23.9036545313; 18018;03 51 03.02;+23 54 13.6;10.17;057.76257314;+23.90376782;  24.72;  150.93;  -46.61;  4.62; 1.160; ;057.76297440;+23.90365453
1.047762;056.4533975689;+23.1471487746; 17572;03 45 48.80;+23 08 50.1; 6.85;056.45334190;+23.14725691;   9.68;   21.06;  -44.49;  1.03; 0.060; ;056.45339757;+23.14714877
1.119560;055.9299872054;+25.0807092254; 17403;03 43 43.18;+25 04 51.0; 7.52;055.92992873;+25.08083909;  10.01;   21.79;  -53.43;  1.06; 0.141; ;055.92998721;+25.08070923
1.149477;057.8633943466;+24.5186506800; 18050;03 51 27.20;+24 31 07.5; 8.86;057.86334041;+24.51876093;   7.56;   20.19;  -45.36;  1.47; 0.380; ;057.86339435;+24.51865068
1.229467;056.4964117288;+25.3985896022; 17583;03 45 59.13;+25 23 55.3; 8.04;056.49636093;+25.39870238;   8.50;   18.88;  -46.40;  1.17; 0.213; ;056.49641173;+25.39858960
1.235491;056.9451469709;+25.3856943226; 17729;03 47 46.82;+25 23 08.9; 8.32;056.94509494;+25.38580834;   7.61;   19.34;  -46.91;  1.17; 0.262; ;056.94514697;+25.38569432
1.267477;056.8454047027;+22.9221215789; 17694;03 47 22.88;+22 55 20.0; 8.17;056.84535261;+22.92223144;   9.87;   19.74;  -45.20;  1.19; 0.255; ;056.84540470;+22.92212158
1.385381;055.3456998911;+23.4869383378; 17225;03 41 22.95;+23 29 13.4; 9.17;055.34564029;+23.48704606;   9.21;   22.49;  -44.32;  1.45; 0.437; ;055.34569989;+23.48693834
1.467420;057.8553926220;+25.1629292686; 18046;03 51 25.30;+25 09 46.6; 6.79;057.85541671;+25.16295722;   4.76;   -8.97;  -11.50;  0.83; 0.160; ;057.85539262;+25.16292927
1.474480;057.2279586249;+22.7992072471; 17828;03 48 54.71;+22 47 57.2; 8.12;057.22794154;+22.79922132;   5.27;    6.48;   -5.79;  1.14; 0.050; ;057.22795862;+22.79920725
1.522325;058.2228203755;+24.7157294976; 18154;03 52 53.47;+24 42 57.0; 9.44;058.22277909;+24.71584089;   8.57;   15.43;  -45.83;  1.57; 0.480; ;058.22282038;+24.71572950
1.601646;058.0474906338;+25.1630789633; 18106;03 52 11.48;+25 09 48.5; 6.77;058.04781699;+25.16347704;  25.34; -121.53; -163.78;  0.89; 0.583; ;058.04749063;+25.16307896
1.631477;057.5789096550;+25.5793619359; 17954;03 50 18.91;+25 34 46.7; 5.24;057.57881165;+25.57964862;  16.96;   36.37; -117.95;  0.82; 0.231; ;057.57890965;+25.57936194
1.665954;056.6451223623;+25.8438587143; 17625;03 46 34.82;+25 50 38.3; 8.72;056.64506816;+25.84397069;   4.73;   20.07;  -46.07;  1.48; 0.355; ;056.64512236;+25.84385871
1.682526;055.5196784428;+22.8585640630; 17289;03 42 04.71;+22 51 31.2; 9.17;055.51962648;+22.85866532;   7.29;   19.70;  -41.66;  1.50; 0.463; ;055.51967844;+22.85856406
1.688798;057.1745461345;+25.8007424856; 17812;03 48 41.89;+25 48 02.7; 8.44;057.17455013;+25.80075493;   2.54;   -1.48;   -5.12;  1.20; 0.110; ;057.17454613;+25.80074249
1.712321;054.8061378809;+24.4665213562; 17044;03 39 13.46;+24 27 59.9;10.40;054.80608394;+24.46663095;   8.85;   20.20;  -45.09;  2.11; 0.616; ;054.80613788;+24.46652136
1.714410;055.5663299051;+22.7864564830; 17305;03 42 15.91;+22 47 11.9; 7.40;055.56627304;+22.78663999;  18.79;   21.57;  -75.50;  1.05; 0.428; ;055.56632991;+22.78645648
1.759733;055.1929565814;+25.3294924837; 17181;03 40 46.30;+25 19 46.3; 6.11;055.19293082;+25.32952639;   6.24;    9.58;  -13.95;  0.93; 0.097; ;055.19295658;+25.32949248
1.770040;057.5144230450;+22.5916353534; 17928;03 50 03.36;+22 35 30.4; 7.29;057.51401484;+22.59178984;  26.91;  155.06;  -63.56;  1.13; 0.538; ;057.51442305;+22.59163535
1.783034;057.4090833698;+22.5334826450; 17892;03 49 38.17;+22 32 00.9; 7.01;057.40903653;+22.53359202;  10.12;   17.80;  -45.00;  1.04; 0.033; ;057.40908337;+22.53348264
1.784046;058.6051714056;+24.3600773114; 18263;03 54 25.23;+24 21 36.7;10.94;058.60511727;+24.36019636;   6.64;   20.29;  -48.98;  2.81; 0.714; ;058.60517141;+24.36007731
1.790525;054.7780146363;+24.7028709801; 17034;03 39 06.71;+24 42 10.7; 7.11;054.77795749;+24.70298281;   6.87;   21.36;  -46.01;  1.08; 0.039; ;054.77801464;+24.70287098
1.793502;054.7369439634;+24.5698102711; 17020;03 38 56.85;+24 34 11.7;10.53;054.73688327;+24.56991566;   3.20;   22.71;  -43.36;  2.21; 0.645; ;054.73694396;+24.56981027
1.820616;054.9215676594;+23.2908751642; 17091;03 39 41.16;+23 17 27.6; 9.94;054.92150640;+23.29098731;   9.97;   23.15;  -46.14;  1.82; 0.608; ;054.92156766;+23.29087516
1.838159;055.4006851887;+25.6193199236; 17245;03 41 36.15;+25 37 10.0;10.10;055.40064489;+25.61943275;   5.91;   14.95;  -46.42;  1.67; 0.589; ;055.40068519;+25.61931992
1.865348;058.3382007638;+23.1236105844; 18181;03 53 21.16;+23 07 25.0; 8.29;058.33818044;+23.12359814;   3.68;    7.69;    5.12;  1.54; 1.540; ;058.33820076;+23.12361058
1.877875;054.6495753768;+24.6016301494; 16996;03 38 35.90;+24 36 06.1; 8.22;054.64956987;+24.60168683;   8.21;    2.06;  -23.32;  1.24; 0.428; ;054.64957538;+24.60163015
1.958103;058.0233245276;+22.6716282212; 18097;03 52 05.47;+22 40 20.8; 7.57;058.02277927;+22.67245692;  37.25;  207.00; -340.95;  1.19; 0.684; ;058.02332453;+22.67162822
1.966907;054.7808834123;+25.1567856956; 17037;03 39 07.41;+25 09 24.6; 9.07;054.78086526;+25.15682439;   3.62;    6.76;  -15.92;  1.58; 0.224; ;054.78088341;+25.15678570
2.007738;055.6001010795;+22.4211384904; 17317;03 42 24.01;+22 25 16.5;10.40;055.60005036;+22.42124648;   6.66;   19.29;  -44.43;  1.98; 0.700; ;055.60010108;+22.42113849
2.039066;056.5839170694;+26.2155011673; 17609;03 46 19.89;+26 12 57.5; 9.61;056.58286876;+26.21598281;  68.62;  386.94; -198.16;  1.78; 1.437; ;056.58391707;+26.21550117
2.075798;057.4794710985;+22.2441512975; 17921;03 49 55.06;+22 14 39.3; 6.05;057.47940839;+22.24426286;  10.14;   23.88;  -45.90;  0.90;-0.006; ;057.47947110;+22.24415130
2.097651;058.6857521500;+23.2015878647; 18296;03 54 44.58;+23 12 05.8; 7.95;058.68574858;+23.20161008;   3.25;    1.35;   -9.14;  1.13; 0.048; ;058.68575215;+23.20158786
2.141479;056.2841892659;+26.2925054764; 17525;03 45 08.19;+26 17 33.5;11.49;056.28414429;+26.29262540;  13.35;   16.59;  -49.34;  3.18; 0.823; ;056.28418927;+26.29250548
2.149749;058.8310287912;+23.3603973043; 18346;03 55 19.40;+23 21 37.5; 8.40;058.83084354;+23.36041986;   8.61;   69.97;   -9.28;  1.34; 1.010; ;058.83102879;+23.36039730
2.173517;058.3071558967;+25.7560693579; 18175;03 53 13.71;+25 45 22.0;10.24;058.30713115;+25.75611041;   4.16;    9.17;  -16.89;  2.18; 0.210; ;058.30715590;+25.75606936
2.177296;058.3936571489;+25.6828828564; 18201;03 53 34.46;+25 40 58.7; 6.35;058.39360035;+25.68296603;   6.82;   21.06;  -34.22;  0.97; 0.110; ;058.39365715;+25.68288286
2.178845;056.2455090395;+22.0324539494; 17511;03 44 58.91;+22 01 57.2; 9.49;056.24546103;+22.03255788;  10.00;   18.31;  -42.76;  1.64; 0.489; ;056.24550904;+22.03245395
2.182946;056.5199487476;+21.9984719888; 17589;03 46 04.87;+21 59 55.7; 9.46;056.52027839;+21.99881076;  13.58; -125.75; -139.38;  1.89; 0.676; ;056.51994875;+21.99847199
2.203254;058.3833877392;+25.7299177933; 18194;03 53 32.02;+25 43 47.9; 7.84;058.38339783;+25.72997146;   7.29;   -3.74;  -22.08;  1.16; 0.240; ;058.38338774;+25.72991779
2.250316;058.6389951559;+25.5323733853; 18273;03 54 33.35;+25 31 56.9;10.79;058.63896057;+25.53246317;  10.10;   12.84;  -36.94;  2.78; 0.749; ;058.63899516;+25.53237339
2.296377;055.9417476530;+26.3811240740; 17407;03 43 46.03;+26 22 52.2; 7.35;055.94178078;+26.38115414;   4.04;  -12.21;  -12.37;  1.00; 1.160; ;055.94174765;+26.38112407
2.350173;054.1200287895;+23.7972924127; 16824;03 36 28.77;+23 47 51.2; 8.62;054.11988800;+23.79754451;  15.66;   53.00; -103.72;  1.32; 0.669; ;054.12002879;+23.79729241
2.373861;054.6696679389;+22.6596116201; 17000;03 38 40.71;+22 39 35.0; 6.71;054.66961700;+22.65972170;   7.88;   19.34;  -45.29;  1.00;-0.001; ;054.66966794;+22.65961162
2.414788;054.2417704501;+23.2110691550; 16859;03 36 58.03;+23 12 40.0; 6.72;054.24181123;+23.21111378;   7.46;  -15.42;  -18.36;  0.96; 0.123; ;054.24177045;+23.21106915
2.432587;057.9025939818;+22.0313547808; 18059;03 51 36.61;+22 01 53.1; 6.71;057.90255161;+22.03142901;   8.64;   16.16;  -30.54;  1.02; 1.120; ;057.90259398;+22.03135478
2.440880;057.0788998756;+26.5891695679; 17774;03 48 18.96;+26 35 21.0; 7.98;057.07898533;+26.58917912;   4.53;  -31.44;   -3.93;  1.45; 1.150; ;057.07889988;+26.58916957
2.441955;053.9999481080;+23.9141253250; 16784;03 35 59.99;+23 54 50.9; 9.02;053.99993843;+23.91414195;   3.80;    3.64;   -6.84;  1.47; 1.337; ;053.99994811;+23.91412532
2.475375;059.1171729216;+23.1502732380; 18431;03 56 28.11;+23 09 01.4; 8.34;059.11712801;+23.15038762;   8.66;   16.99;  -47.06;  1.53; 0.269; ;059.11717292;+23.15027324
2.478138;059.3599216452;+24.4619374340; 18508;03 57 26.39;+24 27 43.0; 6.19;059.35993764;+24.46195525;   3.04;   -5.99;   -7.33;  0.92; 1.372; ;059.35992165;+24.46193743
2.531537;054.5940767443;+22.4996828446; 16979;03 38 22.57;+22 29 59.2;10.09;054.59402326;+22.49978748;   5.86;   20.33;  -43.05;  1.77; 0.634; ;054.59407674;+22.49968284
2.570179;055.6240074497;+26.5721802613; 17324;03 42 29.72;+26 34 20.3; 8.13;055.62381632;+26.57229581;   1.46;   70.33;  -47.54;  1.13; 1.341; ;055.62400745;+26.57218026
2.589829;059.2658650530;+23.1755500492; 18485;03 57 03.80;+23 10 32.1; 6.05;059.26584139;+23.17559132;   6.14;    8.95;  -16.98;  1.03; 0.031;P;059.26586505;+23.17555005
2.595005;058.2011182215;+26.3662010526; 18149;03 52 48.25;+26 21 58.6;10.44;058.20104750;+26.36626957;   4.91;   26.07;  -28.19;  2.07; 0.630; ;058.20111822;+26.36620105
2.638431;054.0819691627;+25.3989885272; 16805;03 36 19.66;+25 23 56.5; 9.27;054.08190709;+25.39901643;   5.03;   23.07;  -11.48;  1.37; 0.405; ;054.08196916;+25.39898853
2.640809;059.2992613910;+25.2828322843; 18491;03 57 11.82;+25 16 58.1; 7.50;059.29926252;+25.28281126;   3.98;   -0.42;    8.65;  1.13; 1.022; ;059.29926139;+25.28283228
2.674501;059.5870754160;+24.0811246322; 18559;03 58 20.89;+24 04 52.4; 7.21;059.58702872;+24.08123216;   5.08;   17.54;  -44.24;  1.28; 0.035; ;059.58707542;+24.08112463
2.712480;059.1196972129;+22.6743944082; 18433;03 56 28.62;+22 40 29.9; 7.84;059.11923816;+22.67496102;  21.41;  174.27; -233.12;  1.24; 0.688; ;059.11969721;+22.67439441
2.791616;053.6109372098;+24.4643928883; 16664;03 34 26.62;+24 27 52.1; 5.95;053.61093000;+24.46447543;   6.28;    2.70;  -33.96;  3.96; 0.123; ;053.61093721;+24.46439289
2.805137;054.2959913956;+25.9910956621; 16879;03 37 10.88;+25 59 30.3; 7.28;054.29534916;+25.99175641;  26.78;  237.51; -271.85;  0.95; 0.704;P;054.29599140;+25.99109566
2.846853;059.4470632676;+22.9243946356; 18531;03 57 47.20;+22 55 27.7; 8.78;059.44664805;+22.92436790;  27.72;  157.34;   11.00;  2.77;      ; ;059.44706327;+22.92439464
